사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
2022-02,3호선,319,종로3가,6,1,386,736,756,4486,1098,11576,1821,36909,2520,36988,4051,25072,6397,19145,7720,17944,8805,17173,10695,16993,14065,15279,16076,12716,24313,11758,44176,10266,25525,4793,16531,1963,19107,1948,7705,1214,1509,619,1,74,2,2,0,0,0,0
2022-02,3호선,320,을지로3가,8,0,581,743,749,6327,1545,23555,2531,56818,2990,24919,3884,12203,5818,9924,7183,9350,8085,9585,9951,8934,11301,8549,14235,8331,28626,9366,49756,9725,19067,4265,14787,1892,16641,1978,7230,1137,1241,565,1,42,0,0,0,0,0,0
2022-02,3호선,321,충무로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,2,0,1,0,4,0,4,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
2022-02,3호선,322,동대입구,10,1,1043,793,2102,6685,3918,10813,5739,34848,4591,19892,4304,11973,5845,10689,5713,10437,6729,11021,8678,9929,10583,7439,13720,8082,26836,8875,25053,10180,11698,5810,9444,3625,13675,4721,7094,2886,1436,1000,0,82,0,0,0,0,0,0
2022-02,3호선,323,약수,77,1,4593,619,7306,4399,17177,9248,29579,26716,20459,16163,14575,11724,13865,11374,15182,11938,15804,12576,14762,13863,15334,14791,16549,16978,20021,21502,26032,31571,13521,20507,11577,13208,13015,15840,6383,10489,1151,3765,4,648,0,0,0,0,0,0
2022-02,3호선,324,금호,15,1,3371,473,6943,2331,17712,3887,26694,7121,16516,5337,10731,5533,9724,5703,10193,6815,10044,7627,8586,8145,8407,9820,9175,11358,9054,15752,8497,23878,5551,16643,4538,11308,4203,12348,2419,8263,500,2542,0,2,0,0,0,0,0,0
2022-02,3호선,325,옥수,134,19,2225,682,6545,3712,14770,6057,20888,11324,14943,8985,10632,7148,10178,8144,11135,9007,11406,10137,11129,10374,11427,11724,11945,13534,12868,18056,13490,25098,8107,18163,6735,11516,6733,12990,3170,9367,820,2971,2,46,0,0,0,0,0,0
2022-02,3호선,326,압구정,27,2,2051,1632,5711,19572,10499,33540,16570,113447,14611,126618,19431,61318,25193,47817,29595,42114,31906,45461,38607,42394,46823,36834,55076,37179,75047,41225,112091,41403,75781,21650,62454,10560,52628,10262,25692,6357,2583,2129,3,441,0,0,0,0,0,0
2022-02,3호선,327,신사,24,2,1928,1176,3915,15794,7350,34855,12521,89537,11088,117080,15286,58976,20660,42390,25167,42111,29082,45630,35830,44181,42974,41759,53193,41092,75497,43316,111842,46825,77362,23660,61635,9157,73061,9106,31109,5627,3456,2303,1,49,0,0,0,0,0,0
2022-02,3호선,328,잠원,2,0,796,525,3142,4148,7295,4714,11207,7622,7504,5571,5294,3738,5441,3978,5823,4462,6094,5345,5390,4867,5910,5219,7482,5461,8410,7522,7497,10238,4130,8122,2948,4720,3427,5930,1688,5009,226,1478,2,17,0,0,0,0,0,0
